epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2133.47,1.50394,1.5637,1.19152,0.63029,0.39761,0.42715,0.25445,1.39799,1.30068,1.14434,0.000665185,0.000665185,0.000665185
2,4252.09,1.41826,1.21828,1.14048,0.58503,0.39093,0.40494,0.24491,1.41194,1.39917,1.16208,0.00130548,0.00130548,0.00130548
3,6441.07,1.40194,1.16877,1.1347,0.64072,0.40935,0.43738,0.26528,1.39479,1.29902,1.13825,0.00191938,0.00191938,0.00191938
4,8884.09,1.37537,1.11302,1.12171,0.67961,0.45011,0.49297,0.30442,1.30691,1.10745,1.11007,0.0018812,0.0018812,0.0018812
5,11462.5,1.34138,1.07269,1.11177,0.69212,0.4529,0.49741,0.30645,1.30631,1.13016,1.09655,0.0018416,0.0018416,0.0018416
6,13669.1,1.32019,1.04322,1.10044,0.70466,0.46945,0.5174,0.31715,1.25324,1.04832,1.07056,0.001802,0.001802,0.001802
7,15850.2,1.29533,1.00363,1.09006,0.73226,0.47595,0.52895,0.33618,1.24994,1.00684,1.06982,0.0017624,0.0017624,0.0017624
8,18028.8,1.28,0.98897,1.08323,0.72932,0.47695,0.53747,0.34066,1.21795,0.97735,1.05854,0.0017228,0.0017228,0.0017228
9,20195.2,1.25772,0.96893,1.07596,0.74959,0.4833,0.54291,0.34798,1.21115,0.94769,1.04825,0.0016832,0.0016832,0.0016832
10,22373.4,1.24497,0.95486,1.06839,0.73168,0.48138,0.53776,0.34588,1.19464,0.95503,1.05672,0.0016436,0.0016436,0.0016436
11,24552.7,1.22919,0.9346,1.06061,0.7368,0.47572,0.53261,0.34419,1.18843,0.98248,1.04704,0.001604,0.001604,0.001604
12,26747.5,1.2328,0.93352,1.06189,0.71779,0.491,0.53698,0.34818,1.16677,0.99183,1.04246,0.0015644,0.0015644,0.0015644
13,28939,1.21383,0.91564,1.05486,0.74535,0.50568,0.56622,0.3651,1.14097,0.91959,1.01899,0.0015248,0.0015248,0.0015248
14,31124.9,1.20939,0.9062,1.04964,0.75129,0.49418,0.55467,0.36748,1.12534,0.88741,1.02352,0.0014852,0.0014852,0.0014852
15,33293.8,1.19042,0.87724,1.04396,0.75761,0.505,0.57001,0.37394,1.13209,0.87332,1.01928,0.0014456,0.0014456,0.0014456
16,35199,1.18763,0.88393,1.04368,0.75915,0.49427,0.56356,0.36311,1.13677,0.89342,1.02107,0.001406,0.001406,0.001406
17,37102,1.19197,0.87608,1.04675,0.76493,0.50669,0.57812,0.38193,1.11286,0.85618,1.01518,0.0013664,0.0013664,0.0013664
18,39014.1,1.17285,0.86814,1.03763,0.77835,0.5037,0.57226,0.38154,1.10011,0.84269,1.01518,0.0013268,0.0013268,0.0013268
19,40910.2,1.16757,0.85781,1.03587,0.768,0.51208,0.57764,0.38211,1.10409,0.83722,1.00877,0.0012872,0.0012872,0.0012872
20,44179.9,1.16384,0.85708,1.03476,0.76234,0.51684,0.57913,0.38878,1.09287,0.82729,1.00385,0.0012476,0.0012476,0.0012476
21,46116.5,1.16666,0.85027,1.03545,0.75333,0.52281,0.58109,0.37944,1.09998,0.8478,1.00327,0.001208,0.001208,0.001208
22,48038.9,1.14962,0.82983,1.02677,0.76132,0.51915,0.58297,0.38781,1.08836,0.83315,1.00167,0.0011684,0.0011684,0.0011684
23,49983.7,1.14054,0.82646,1.02577,0.76927,0.51366,0.58263,0.38891,1.08394,0.81405,1.0016,0.0011288,0.0011288,0.0011288
24,51922.5,1.13129,0.8148,1.02101,0.76876,0.52127,0.58647,0.39263,1.07444,0.80294,0.99975,0.0010892,0.0010892,0.0010892
25,53850.1,1.1401,0.82028,1.02188,0.78151,0.52367,0.59263,0.3982,1.06845,0.80621,0.99437,0.0010496,0.0010496,0.0010496
26,55774.6,1.12803,0.80593,1.01907,0.7811,0.51917,0.59206,0.39472,1.06858,0.7958,0.99191,0.00101,0.00101,0.00101
27,57707.5,1.12465,0.80531,1.01632,0.77094,0.52792,0.5925,0.3958,1.06238,0.7996,0.99649,0.0009704,0.0009704,0.0009704
28,59612,1.12109,0.80273,1.01785,0.77494,0.52685,0.59647,0.40142,1.056,0.78848,0.99228,0.0009308,0.0009308,0.0009308
29,61536.7,1.10671,0.78501,1.01251,0.7877,0.52425,0.59782,0.40345,1.05106,0.7817,0.98595,0.0008912,0.0008912,0.0008912
30,63496.2,1.11033,0.78787,1.00999,0.78175,0.52667,0.59845,0.40748,1.04759,0.77778,0.98989,0.0008516,0.0008516,0.0008516
